tour,event_name,event_id,date_start,date_end,course_name,multi_course,current_round,player_name,dg_id,player_num,country,am,dg_rank,owgr_rank,tour_rank,pre_tourn_pageviews,r1_teetime,r1_start_hole,r1_wave,r1_course_name,teetimes_json
pga,Biltmore Championship Asheville,557,2026-09-17,2026-09-20,The Cliffs at Walnut Cove,no,1,"Smotherman, Austin",22985,50095,USA,0,237.0,119.0,80,73,,,,,[]
pga,Biltmore Championship Asheville,557,2026-09-17,2026-09-20,The Cliffs at Walnut Cove,no,1,"Springer, Hayden",21995,50484,USA,0,183.0,269.0,131,61,,,,,[]
pga,Biltmore Championship Asheville,557,2026-09-17,2026-09-20,The Cliffs at Walnut Cove,no,1,"Stanger, Jimmy",23048,51600,USA,0,408.0,349.0,138,37,,,,,[]
pga,Biltmore Championship Asheville,557,2026-09-17,2026-09-20,The Cliffs at Walnut Cove,no,1,"Streelman, Kevin",8480,27214,USA,0,261.0,419.0,148,49,,,,,[]
pga,Biltmore Championship Asheville,557,2026-09-17,2026-09-20,The Cliffs at Walnut Cove,no,1,"Suber, Jackson",29279,60019,USA,0,87.0,98.0,79,135,,,,,[]
pga,Biltmore Championship Asheville,557,2026-09-17,2026-09-20,The Cliffs at Walnut Cove,no,1,"Svensson, Adam",13997,40115,CAN,0,374.0,,178,42,,,,,[]
pga,Biltmore Championship Asheville,557,2026-09-17,2026-09-20,The Cliffs at Walnut Cove,no,1,"Svensson, Jesper",26850,57586,SWE,0,256.0,186.0,125,56,,,,,[]
pga,Biltmore Championship Asheville,557,2026-09-17,2026-09-20,The Cliffs at Walnut Cove,no,1,"Taylor, Nick",13126,25493,CAN,0,66.0,81.0,63,90,,,,,[]
pga,Biltmore Championship Asheville,557,2026-09-17,2026-09-20,The Cliffs at Walnut Cove,no,1,"Thompson, Davis",27364,58168,USA,0,51.0,118.0,77,202,,,,,[]
pga,Biltmore Championship Asheville,557,2026-09-17,2026-09-20,The Cliffs at Walnut Cove,no,1,"Thompson, Michael",12946,32150,USA,0,,,,43,,,,,[]
pga,Biltmore Championship Asheville,557,2026-09-17,2026-09-20,The Cliffs at Walnut Cove,no,1,"Todd, Brendon",12425,30927,USA,0,,,217,54,,,,,[]
pga,Biltmore Championship Asheville,557,2026-09-17,2026-09-20,The Cliffs at Walnut Cove,no,1,"Tosti, Alejandro",17032,38991,ARG,0,,465.0,186,41,,,,,[]
pga,Biltmore Championship Asheville,557,2026-09-17,2026-09-20,The Cliffs at Walnut Cove,no,1,"Valdes, Brendan",31188,65110,USA,0,,,,67,,,,,[]
pga,Biltmore Championship Asheville,557,2026-09-17,2026-09-20,The Cliffs at Walnut Cove,no,1,"Van Rooyen, Erik",17550,40006,RSA,0,201.0,212.0,146,74,,,,,[]
pga,Biltmore Championship Asheville,557,2026-09-17,2026-09-20,The Cliffs at Walnut Cove,no,1,"VanDerLaan, John",25319,55573,USA,0,357.0,323.0,170,26,,,,,[]
pga,Biltmore Championship Asheville,557,2026-09-17,2026-09-20,The Cliffs at Walnut Cove,no,1,"Ventura, Kristoffer",15651,35658,NOR,0,121.0,187.0,104,88,,,,,[]
pga,Biltmore Championship Asheville,557,2026-09-17,2026-09-20,The Cliffs at Walnut Cove,no,1,"Vilips, Karl",24304,54304,AUS,0,216.0,207.0,129,56,,,,,[]
pga,Biltmore Championship Asheville,557,2026-09-17,2026-09-20,The Cliffs at Walnut Cove,no,1,"Villegas, Camilo",9171,27770,COL,0,411.0,,194,40,,,,,[]
pga,Biltmore Championship Asheville,557,2026-09-17,2026-09-20,The Cliffs at Walnut Cove,no,1,"Walker, Danny",25003,54607,USA,0,485.0,307.0,158,42,,,,,[]
pga,Biltmore Championship Asheville,557,2026-09-17,2026-09-20,The Cliffs at Walnut Cove,no,1,"Watts, Tyler",34445,69500,USA,1,258.0,,,51,,,,,[]
pga,Biltmore Championship Asheville,557,2026-09-17,2026-09-20,The Cliffs at Walnut Cove,no,1,"Whaley, Vince",25908,51894,USA,0,299.0,209.0,171,42,,,,,[]
pga,Biltmore Championship Asheville,557,2026-09-17,2026-09-20,The Cliffs at Walnut Cove,no,1,"Wise, Aaron",22051,49964,USA,0,454.0,475.0,151,61,,,,,[]
pga,Biltmore Championship Asheville,557,2026-09-17,2026-09-20,The Cliffs at Walnut Cove,no,1,"Wu, Dylan",25002,54783,USA,0,335.0,432.0,162,31,,,,,[]
pga,Biltmore Championship Asheville,557,2026-09-17,2026-09-20,The Cliffs at Walnut Cove,no,1,"Yu, Kevin",17881,45242,TPE,0,67.0,105.0,92,108,,,,,[]
euro,BMW PGA Championship,2026136,2026-09-17,2026-09-20,Wentworth Club,no,1,"Aberg, Ludvig",23950,42866,SWE,0,6.0,16.0,46,199,,,,,[]
euro,BMW PGA Championship,2026136,2026-09-17,2026-09-20,Wentworth Club,no,1,"Aphibarnrat, Kiradech",12321,37259,THA,0,355.0,359.0,105,40,,,,,[]
euro,BMW PGA Championship,2026136,2026-09-17,2026-09-20,Wentworth Club,no,1,"Armitage, Marcus",17813,36452,ENG,0,174.0,171.0,26,38,,,,,[]
euro,BMW PGA Championship,2026136,2026-09-17,2026-09-20,Wentworth Club,no,1,"Ayora, Angel",30445,101547,ESP,0,95.0,121.0,18,127,,,,,[]
euro,BMW PGA Championship,2026136,2026-09-17,2026-09-20,Wentworth Club,no,1,"Bairstow, Sam",28615,100418,ENG,0,251.0,386.0,94,31,,,,,[]
euro,BMW PGA Championship,2026136,2026-09-17,2026-09-20,Wentworth Club,no,1,"Bradbury, Dan",29971,101155,ENG,0,262.0,184.0,19,59,,,,,[]
euro,BMW PGA Championship,2026136,2026-09-17,2026-09-20,Wentworth Club,no,1,"Brown, Dan",20766,40915,ENG,0,155.0,135.0,151,63,,,,,[]
euro,BMW PGA Championship,2026136,2026-09-17,2026-09-20,Wentworth Club,no,1,"Bryant, Davis",32550,106152,USA,0,188.0,172.0,20,63,,,,,[]
euro,BMW PGA Championship,2026136,2026-09-17,2026-09-20,Wentworth Club,no,1,"Cabrera Bello, Rafa",7457,32111,ESP,0,316.0,251.0,64,50,,,,,[]
euro,BMW PGA Championship,2026136,2026-09-17,2026-09-20,Wentworth Club,no,1,"Campillo, Jorge",14016,36867,ESP,0,229.0,200.0,31,46,,,,,[]
euro,BMW PGA Championship,2026136,2026-09-17,2026-09-20,Wentworth Club,no,1,"Canter, Laurie",14795,37624,ENG,0,125.0,150.0,160,77,,,,,[]
euro,BMW PGA Championship,2026136,2026-09-17,2026-09-20,Wentworth Club,no,1,"Cantero Gutierrez, Ivan",19635,40516,ESP,0,,,141,29,,,,,[]
euro,BMW PGA Championship,2026136,2026-09-17,2026-09-20,Wentworth Club,no,1,"Capan III, Frankie",21412,102339,USA,0,,454.0,210,33,,,,,[]
euro,BMW PGA Championship,2026136,2026-09-17,2026-09-20,Wentworth Club,no,1,"Cauley, Bud",14502,38195,USA,0,50.0,45.0,,86,,,,,[]
euro,BMW PGA Championship,2026136,2026-09-17,2026-09-20,Wentworth Club,no,1,"Celli, Filippo",23549,100024,ITA,0,388.0,358.0,116,40,,,,,[]
euro,BMW PGA Championship,2026136,2026-09-17,2026-09-20,Wentworth Club,no,1,"Chacarra, Eugenio",26745,43332,ESP,0,61.0,58.0,3,113,,,,,[]
euro,BMW PGA Championship,2026136,2026-09-17,2026-09-20,Wentworth Club,no,1,"Clements, Todd",22608,42411,ENG,0,223.0,208.0,68,39,,,,,[]
euro,BMW PGA Championship,2026136,2026-09-17,2026-09-20,Wentworth Club,no,1,"Coussaud, Ugo",20727,40882,FRA,0,184.0,225.0,55,53,,,,,[]
euro,BMW PGA Championship,2026136,2026-09-17,2026-09-20,Wentworth Club,no,1,"Couvra, Martin",27811,101251,FRA,0,278.0,190.0,66,65,,,,,[]
euro,BMW PGA Championship,2026136,2026-09-17,2026-09-20,Wentworth Club,no,1,"Crocker, Sean",23610,41684,USA,0,384.0,,123,44,,,,,[]
euro,BMW PGA Championship,2026136,2026-09-17,2026-09-20,Wentworth Club,no,1,"Dantorp, Jens",14018,36484,SWE,0,279.0,389.0,110,48,,,,,[]
euro,BMW PGA Championship,2026136,2026-09-17,2026-09-20,Wentworth Club,no,1,"Dean, Joe",16497,39035,ENG,0,163.0,147.0,14,83,,,,,[]
euro,BMW PGA Championship,2026136,2026-09-17,2026-09-20,Wentworth Club,no,1,"Del Rey, Alejandro",22259,41268,ESP,0,257.0,236.0,57,48,,,,,[]
