player_name,course_name,starts,rounds,sg_total_avg,avg_finish,best,cut_pct,last3,spec_rank
"Knapp, Jake",DETROIT GOLF CLUB,51,228,0.613,24.64,4.0,28.0,CUT|74|11,41.0
"Roy, Kevin",DETROIT GOLF CLUB,62,284,0.614,28.31,2.0,41.0,CUT|74|3,40.0
"McCarty, Matt",DETROIT GOLF CLUB,55,287,0.762,25.34,1.0,24.1,CUT|CUT|60,18.0
"Lebioda, Hank",DETROIT GOLF CLUB,76,377,0.128,36.28,1.0,43.4,CUT|74|CUT,111.0
"Riley, Davis",DETROIT GOLF CLUB,47,277,-0.006,38.97,6.0,27.7,71|CUT|45,130.0
"Novak, Andrew",DETROIT GOLF CLUB,52,307,0.3,36.23,3.0,25.0,CUT|CUT|54,89.0
"Campos, Rafael",DETROIT GOLF CLUB,67,317,-0.18,31.03,1.0,50.7,CUT|CUT|CUT,135.0
"Eckroat, Austin",DETROIT GOLF CLUB,42,232,0.198,33.48,2.0,31.0,67|19|39,103.0
"Whaley, Vince",DETROIT GOLF CLUB,32,210,0.724,32.48,4.0,34.4,CUT|CUT|28,20.0
"Ewart, A.J.",DETROIT GOLF CLUB,9,25,0.7,24.67,1.0,33.3,17|CUT|CUT,22.0
"Hall, Harry",DETROIT GOLF CLUB,55,275,0.665,27.67,1.0,34.5,CUT|29|CUT,27.0
"Bauchou, Zach",DETROIT GOLF CLUB,44,198,0.653,25.59,1.0,32.5,22|24|CUT,29.0
"Pendrith, Taylor",DETROIT GOLF CLUB,47,304,0.518,32.67,5.0,36.2,43|44|37,51.0
"Malnati, Peter",DETROIT GOLF CLUB,45,339,-0.187,36.17,4.0,46.7,53|65|CUT,136.0
"Im, Sungjae",DETROIT GOLF CLUB,57,480,0.818,23.18,2.0,21.4,43|32|CUT,17.0
"Wu, Dylan",DETROIT GOLF CLUB,47,262,0.336,31.55,2.0,34.0,72|CUT|CUT,83.0
