ID,Player Name,Stat Value,Stat Description,Higher Price,Lower Price,Sport ID,Match Title,Game Short Title,Scheduled At,Match Progress,Venue Name,Venue Type,Weather Condition,Weather Temperature,Away Team Probable Starting Pitcher,Away Team Probable Starting Pitcher Hand,Home Team Probable Starting Pitcher,Home Team Probable Starting Pitcher Hand,Broadcasts,Player Position Display Name,Player Position Name,Player Image URL,Appearance Badge Text,Appearance Badge Label,Appearance Badge Value,Match Date
379b4e7f-6664-4500-b984-0c8548bbdf92,Xander Schauffele,68.5,Round Strokes,+122,-150,PGA,FedEx St. Jude... R2,N/A,2026-08-14T14:25:00Z,Fri 10:25am,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Golfer,G,https://assets.underdogfantasy.com/player-images/pga/20260515_15-26dc0bda-b9a8-4303-9c1c-ddecda3817d2.png,N/A,N/A,N/A,8/14/2026
7578d547-70fa-4698-883b-26bca23824be,Xander Schauffele,10.5,Tourney Finishing Position,N/A,-102,PGA,FedEx St. Jude... R2,N/A,2026-08-14T14:25:00Z,Fri 10:25am,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Golfer,G,https://assets.underdogfantasy.com/player-images/pga/20260515_15-26dc0bda-b9a8-4303-9c1c-ddecda3817d2.png,N/A,N/A,N/A,8/14/2026
ca351a60-cabc-4b6b-ac95-89997882bcaa,Xander Schauffele,4.5,Birdies or Better,+103,-125,PGA,FedEx St. Jude... R2,N/A,2026-08-14T14:25:00Z,Fri 10:25am,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Golfer,G,https://assets.underdogfantasy.com/player-images/pga/20260515_15-26dc0bda-b9a8-4303-9c1c-ddecda3817d2.png,N/A,N/A,N/A,8/14/2026
747387dd-93b7-4356-95b6-426a0d9824e7,Xander Schauffele,11.5,Greens in Regulation,+101,-124,PGA,FedEx St. Jude... R2,N/A,2026-08-14T14:25:00Z,Fri 10:25am,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Golfer,G,https://assets.underdogfantasy.com/player-images/pga/20260515_15-26dc0bda-b9a8-4303-9c1c-ddecda3817d2.png,N/A,N/A,N/A,8/14/2026
b8d590c8-e873-4cb9-8531-d8e17d934738,Xander Schauffele,7.5,Fairways Hit,-105,-118,PGA,FedEx St. Jude... R2,N/A,2026-08-14T14:25:00Z,Fri 10:25am,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Golfer,G,https://assets.underdogfantasy.com/player-images/pga/20260515_15-26dc0bda-b9a8-4303-9c1c-ddecda3817d2.png,N/A,N/A,N/A,8/14/2026
f2d26f99-350b-427c-abc2-4e50e3f15212,Xander Schauffele,2.5,Bogeys or Worse,+115,-141,PGA,FedEx St. Jude... R2,N/A,2026-08-14T14:25:00Z,Fri 10:25am,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Golfer,G,https://assets.underdogfantasy.com/player-images/pga/20260515_15-26dc0bda-b9a8-4303-9c1c-ddecda3817d2.png,N/A,N/A,N/A,8/14/2026
7f17c166-fb31-40cd-aae9-8a0e94c9adaa,Xander Schauffele,10.5,R2 Leaderboard Position,N/A,+110,PGA,FedEx St. Jude... R2,N/A,2026-08-14T14:25:00Z,Fri 10:25am,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Golfer,G,https://assets.underdogfantasy.com/player-images/pga/20260515_15-26dc0bda-b9a8-4303-9c1c-ddecda3817d2.png,N/A,N/A,N/A,8/14/2026
c38b164d-832e-4f80-91f4-2cbdcc44b2fe,Xander Schauffele,0.5,Eagles or Better,+560,N/A,PGA,FedEx St. Jude... R2,N/A,2026-08-14T14:25:00Z,Fri 10:25am,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Golfer,G,https://assets.underdogfantasy.com/player-images/pga/20260515_15-26dc0bda-b9a8-4303-9c1c-ddecda3817d2.png,N/A,N/A,N/A,8/14/2026
cb4210e0-9539-435c-9963-7b4f995552b6,Collin Morikawa,68.5,Round Strokes,-110,-112,PGA,FedEx St. Jude... R2,N/A,2026-08-14T14:35:00Z,Fri 10:35am,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Golfer,G,https://assets.underdogfantasy.com/player-images/pga/20250926_02-f0ff1391-fc29-41bf-b46a-cd5ef9f63ad9.png,N/A,N/A,N/A,8/14/2026
8d37cb6e-120a-4a19-b3ce-21380b08c022,Collin Morikawa,20.5,Tourney Finishing Position,N/A,+173,PGA,FedEx St. Jude... R2,N/A,2026-08-14T14:35:00Z,Fri 10:35am,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Golfer,G,https://assets.underdogfantasy.com/player-images/pga/20250926_02-f0ff1391-fc29-41bf-b46a-cd5ef9f63ad9.png,N/A,N/A,N/A,8/14/2026
